,n,T(K),attempts,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,3.0,250.0,17.0,93.0,,163.0,,,117.0,,,183.0,155.0
1,3.0,252.0,10.0,82.0,,160.0,,170.0,66.0,67.0,192.0,150.0,128.0
2,3.0,254.0,10.0,9.0,58.0,,42.0,110.0,46.0,40.0,70.0,180.0,70.0
3,3.0,255.0,10.0,36.0,34.0,50.0,,10.0,,93.0,,,31.0
4,3.0,256.0,10.0,98.0,,33.0,20.0,85.0,78.0,43.0,117.0,75.0,67.0
5,3.0,258.0,10.0,22.0,3.0,35.0,36.0,2.0,9.0,1.0,5.0,20.0,12.0
6,3.0,260.0,10.0,,10.0,10.0,,16.0,,3.0,12.0,3.0,
7,4.0,260.0,17.0,34.0,117.0,,,128.0,165.0,50.0,128.0,,168.0
8,4.0,265.0,10.0,114.0,64.0,37.0,30.0,81.0,15.0,107.0,50.0,58.0,10.0
9,5.0,265.0,16.0,60.0,104.0,160.0,,,,120.0,,94.0,110.0
10,4.0,266.0,10.0,11.0,48.0,20.0,122.0,32.0,54.0,143.0,,58.0,30.0
11,4.0,270.0,10.0,40.0,,13.0,65.0,12.0,29.0,30.0,23.0,83.0,14.0
12,5.0,270.0,10.0,,46.0,,70.0,22.0,,157.0,21.0,50.0,44.0
13,6.0,270.0,10.0,87.0,,32.0,28.0,,,,157.0,70.0,
14,4.0,275.0,10.0,6.0,2.0,11.0,3.0,15.0,3.0,3.0,2.0,1.0,1.0
15,5.0,275.0,10.0,32.0,10.0,44.0,17.0,16.0,35.0,16.0,,50.0,18.0
16,6.0,275.0,10.0,40.0,88.0,,,62.0,84.0,,52.0,80.0,
17,5.0,280.0,10.0,6.0,8.0,6.0,8.0,17.0,5.0,12.0,2.0,12.0,16.0
18,6.0,280.0,10.0,2.0,58.0,13.0,13.0,37.0,11.0,115.0,20.0,,40.0
19,5.0,285.0,16.0,,1.0,,,3.0,,7.0,,,
20,6.0,285.0,10.0,38.0,13.0,10.0,,8.0,1.0,8.0,1.0,4.0,7.0
21,6.0,290.0,10.0,1.0,2.0,3.0,12.0,5.0,1.0,1.0,10.0,1.0,6.0
